distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,time
67.2,4.3,67,22.0,18,E10,0,0,0,60.18
43.7,4.7,44,22.0,9,SP98,0,1,0,59.59
12.1,4.2,43,22.0,4,SP98,0,0,0,16.88
56.1,4.8,82,22.0,13,SP98,0,0,0,41.05
39.0,4.1,61,22.0,16,SP98,0,0,0,38.36
11.8,4.5,41,21.5,13,SP98,0,0,0,17.27
38.5,4.8,63,21.5,14,SP98,0,0,0,36.67
28.2,4.6,54,21.5,14,SP98,0,0,0,31.33
2.9,7.4,24,21.5,14,SP98,0,0,0,7.25
6.1,5.6,24,21.5,13,SP98,0,0,0,15.25
19.6,4.9,43,21.5,13,SP98,0,0,0,27.35
22.2,3.8,42,21.929521276595743,15,SP98,0,0,0,31.71
13.6,4.5,44,19.0,18,SP98,0,0,0,18.55
12.6,4.1,33,21.929521276595743,17,SP98,0,0,0,22.91
8.7,5.3,28,22.5,12,SP98,1,1,0,18.64
7.9,4.7,31,22.5,12,SP98,1,0,0,15.29
2.4,9.0,26,20.0,10,SP98,0,0,0,5.54
4.9,6.3,26,20.0,10,SP98,0,0,0,11.31
18.1,3.6,36,20.0,19,SP98,0,0,0,30.17
25.9,3.7,39,20.0,21,SP98,0,0,0,39.85
1.3,11.5,21,20.0,10,SP98,0,0,0,3.71
14.1,5.0,22,20.0,12,SP98,0,0,0,38.45
13.4,5.5,31,20.0,9,SP98,0,0,0,25.94
6.4,4.7,33,20.0,8,SP98,0,0,0,11.64
12.9,4.5,42,20.0,13,SP98,0,0,0,18.43
12.1,4.4,33,22.5,5,SP98,0,0,0,22.0
15.7,4.1,32,22.5,13,SP98,0,0,0,29.44
16.2,4.4,26,22.5,11,SP98,0,0,0,37.38
12.8,4.6,22,22.5,12,SP98,0,0,0,34.91
19.0,4.4,58,22.5,17,SP98,0,0,1,19.66
29.0,4.0,27,22.5,12,SP98,0,0,0,64.44
12.1,5.0,32,22.5,9,SP98,0,0,0,22.69
12.3,5.2,55,22.5,10,SP98,0,0,0,13.42
24.8,4.0,56,22.5,11,SP98,0,0,0,26.57
12.9,5.1,34,22.5,8,SP98,0,1,0,22.76
11.8,4.5,39,22.5,3,SP98,0,0,0,18.15
31.4,4.6,62,22.5,11,SP98,0,0,0,30.39
19.0,5.1,53,22.5,4,SP98,0,1,0,21.51
13.0,5.7,38,22.5,3,SP98,1,1,0,20.53
11.8,4.8,42,22.5,2,SP98,0,0,0,16.86
13.0,6.2,32,22.5,4,SP98,0,0,0,24.38
11.8,5.0,43,22.5,1,SP98,0,0,0,16.47
27.1,5.0,69,22.5,8,SP98,0,0,0,23.57
5.2,4.6,38,22.5,8,SP98,0,0,0,8.21
19.0,4.5,29,22.5,10,E10,0,0,0,39.31
12.4,4.8,38,22.5,1,E10,0,0,0,19.58
25.2,5.0,55,22.5,9,E10,0,0,0,27.49
14.3,4.8,36,22.5,10,E10,0,0,0,23.83
11.8,4.6,40,22.5,2,E10,0,0,0,17.7
16.9,4.5,48,22.5,9,E10,0,0,1,21.12
12.4,4.6,55,22.5,11,E10,0,0,1,13.53
17.4,4.4,36,22.5,12,E10,0,0,1,29.0
9.2,5.7,33,22.5,8,E10,0,1,0,16.73
12.3,5.8,54,22.5,10,E10,0,1,0,13.67
13.0,5.9,32,22.5,10,E10,0,0,0,24.38
11.8,6.1,16,22.5,6,E10,0,1,0,44.25
13.0,5.7,37,22.5,11,E10,0,1,0,21.08
12.3,5.0,42,22.5,10,E10,0,0,0,17.57
12.3,5.2,57,22.5,15,E10,0,0,1,12.95
12.5,4.3,57,22.5,16,E10,0,0,1,13.16
31.5,4.1,30,22.5,16,E10,0,0,1,63.0
11.8,4.4,42,22.5,8,E10,0,0,0,16.86
24.9,4.5,53,22.5,14,E10,0,0,0,28.19
17.0,3.9,46,22.5,14,E10,0,0,1,22.17
2.0,8.1,20,22.5,14,E10,0,0,0,6.0
11.8,4.4,33,22.5,8,E10,0,0,0,21.45
7.4,5.0,31,22.5,12,E10,0,0,0,14.32
12.4,4.7,55,22.5,14,E10,0,0,1,13.53
2.0,6.0,22,22.5,14,E10,0,0,0,5.45
14.0,5.0,41,22.5,8,E10,0,0,0,20.49
25.7,5.0,45,22.5,7,E10,0,0,0,34.27
24.5,3.9,50,21.929521276595743,15,E10,0,0,1,29.4
11.8,4.5,28,22.5,12,E10,0,0,0,25.29
4.1,5.4,24,22.5,13,E10,0,0,0,10.25
4.2,5.6,29,22.0,17,E10,0,0,0,8.69
4.2,3.9,29,22.0,18,E10,0,0,1,8.69
16.0,4.0,40,22.0,10,E10,0,0,0,24.0
22.9,4.0,29,21.929521276595743,21,E10,0,0,0,47.38
16.0,3.8,42,21.929521276595743,8,E10,0,0,0,22.86
15.4,4.5,50,22.0,14,E10,0,0,0,18.48
16.0,3.8,41,22.0,12,E10,0,0,0,23.41
4.2,5.6,32,22.0,18,E10,0,0,0,7.88
